,Mean Pitch,Max Pitch,Mean Intensity,Max Intensity,Jitter,Shimmer,NHR,dyad,speaker,session,sentence,duration(s),size(K),file_name
5243,107.2737334,309.2084013,66.01778698,74.78669065,0.018476401,0.065719734,15.2212992,6566,66,solo,4,6.18,532.17,SK0506_6_solo555_4_mono.wav
5244,83.47095197,305.8957289,71.2350639,83.98059546,0.01913591,0.055322108,18.4236747,6566,66,solo,50,5.13,441.65,SK0506_6_solo555_50_mono.wav
5245,114.0603904,346.1364641,70.43102644,81.51623992,0.022994044,0.074427387,15.6092792,6566,66,solo,51,6.03,518.99,SK0506_6_solo555_51_mono.wav
5246,93.29651122,324.9964509,64.36664442,75.67547368,0.014382912,0.054229064,16.2028709,6566,66,solo,52,8.19,705.04,SK0506_6_solo555_52_mono.wav
5247,91.20330051,310.3682698,69.91664833,81.53874866,0.015341502,0.053004413,19.0431894,6566,66,solo,53,4.85,418.04,SK0506_6_solo555_53_mono.wav
5248,96.20909624,325.816418,71.48062091,86.87836494,0.016630153,0.060422453,16.5066515,6566,66,solo,54,6.02,518.56,SK0506_6_solo555_54_mono.wav
5249,95.80435028,322.6467636,69.29545193,80.61542759,0.015414447,0.064764753,18.2596853,6566,66,solo,55,5.82,500.91,SK0506_6_solo555_55_mono.wav
5250,95.19071013,352.6199296,70.27377785,79.743946,0.016737795,0.056226346,15.113222,6566,66,solo,56,7.62,656.46,SK0506_6_solo555_56_mono.wav
5251,75.00997402,364.4235953,67.78979864,82.14204091,0.02786246,0.075255652,15.3732508,6566,66,solo,57,6.76,582.73,SK0506_6_solo555_57_mono.wav
5252,82.81285265,587.8468965,66.11835448,79.33584032,0.0156022,0.06153938,16.3346927,6566,66,solo,58,7.05,607.37,SK0506_6_solo555_58_mono.wav
5253,91.13386511,332.9517491,68.87871082,85.40578711,0.016206811,0.062016439,18.4619672,6566,66,solo,59,8.25,710.81,SK0506_6_solo555_59_mono.wav
5254,114.5082565,317.9824337,71.21414086,84.74033738,0.015417699,0.059804693,17.9014023,6566,66,solo,5,7.02,604.95,SK0506_6_solo555_5_mono.wav
5255,86.66945707,359.2358737,70.34981952,81.32272633,0.02201172,0.072423895,13.828993,6566,66,solo,60,7.69,662.66,SK0506_6_solo555_60_mono.wav
5256,97.46021843,312.2157731,69.72646613,80.23327593,0.020130712,0.053658362,15.983383,6566,66,solo,61,7.88,678.94,SK0506_6_solo555_61_mono.wav
5257,77.09608693,325.0596179,68.18115635,85.22697788,0.016982845,0.055030224,18.7647347,6566,66,solo,62,6.93,596.69,SK0506_6_solo555_62_mono.wav
5258,82.60573724,418.0514484,68.98124695,77.15132737,0.0273532,0.066922157,12.6721726,6566,66,solo,63,4.81,414.17,SK0506_6_solo555_63_mono.wav
5259,70.84888348,372.9210731,67.94264068,77.16922786,0.018668034,0.063950457,14.1337715,6566,66,solo,64,5.61,483.25,SK0506_6_solo555_64_mono.wav
5260,97.91509617,439.08363,68.61503395,79.14595884,0.020389061,0.063897216,15.3538498,6566,66,solo,65,7.17,617.62,SK0506_6_solo555_65_mono.wav
5261,94.72655468,367.3782309,68.881145,83.36110544,0.017495053,0.062193649,16.3837482,6566,66,solo,66,4.48,385.75,SK0506_6_solo555_66_mono.wav
